"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,salary
"Kuhl, Chad",641771,2022,29,27,137,617,546,155,93,31,6,25,110,58,17.8,9.4,0.284,0.5,0.355,0.855,0.272,0.466,0.368,0.352,0.345,0.194,90.5,15.8,36,9.7,3000000
"Lauer, Eric",641778,2022,27,29,158.2,661,592,135,84,21,3,27,157,59,23.8,8.9,0.228,0.41,0.298,0.708,0.24,0.393,0.31,0.311,0.311,0.154,88.8,17.7,35.8,8,2425000
"López, Pablo",641154,2022,26,32,180,736,671,157,91,39,6,21,174,53,23.6,7.2,0.234,0.404,0.296,0.7,0.239,0.378,0.305,0.301,0.302,0.138,87.9,11,33.7,9,2450000
"López, Pablo",641154,2023,27,32,194,801,738,176,121,26,5,24,234,48,29.2,6,0.238,0.385,0.292,0.677,0.217,0.34,0.294,0.269,0.272,0.124,87.1,12.6,32.4,6.3,5450000
"Lorenzen, Michael",547179,2023,31,29,153,624,567,138,91,26,1,20,111,47,17.8,7.5,0.243,0.399,0.302,0.701,0.259,0.442,0.304,0.327,0.316,0.183,90,13.8,33.9,8,9250000
"Lugo, Seth",607625,2023,33,26,146.1,604,563,140,89,29,3,19,140,36,23.2,6,0.249,0.412,0.296,0.708,0.26,0.444,0.306,0.323,0.308,0.184,90.7,9.9,34.6,9.6,8750000
"Luzardo, Jesús",666200,2023,25,32,178.2,741,677,162,94,43,3,22,208,55,28.1,7.4,0.239,0.409,0.301,0.71,0.235,0.41,0.307,0.307,0.298,0.176,89.5,14.5,34.7,9.5,2450000
"Lyles, Jordan",543475,2022,31,32,179,774,710,196,123,46,1,26,144,52,18.6,6.7,0.276,0.454,0.331,0.785,0.267,0.452,0.341,0.34,0.325,0.184,88.6,15.3,35.1,10.4,6000000
"Lyles, Jordan",543475,2023,32,31,177.2,748,689,176,87,48,2,39,120,45,16,6,0.255,0.501,0.305,0.806,0.265,0.481,0.34,0.34,0.314,0.216,89,19.8,34.6,9.9,8500000
"Lynch IV, Daniel",663738,2022,25,27,131.2,600,535,155,109,24,1,21,122,52,20.3,8.7,0.29,0.456,0.355,0.811,0.277,0.45,0.352,0.345,0.343,0.174,91.2,12.8,33.7,8.8,703600
"Lynn, Lance",458681,2022,35,21,121.2,512,481,119,80,20,0,19,124,19,24.2,3.7,0.247,0.407,0.289,0.696,0.243,0.387,0.304,0.296,0.286,0.144,88.4,14.2,34.3,6.7,18500000
"Lynn, Lance",458681,2023,36,32,183.2,808,729,189,116,26,3,44,191,67,23.6,8.3,0.259,0.484,0.328,0.812,0.252,0.461,0.347,0.337,0.322,0.209,88.7,17,35.2,10.4,18500000
"Mahle, Tyler",641816,2022,27,23,120.2,503,452,104,64,21,3,16,126,43,25,8.5,0.23,0.396,0.297,0.693,0.214,0.358,0.303,0.291,0.288,0.144,88.7,17.9,31.9,7.5,5200000
"Manaea, Sean",640455,2022,30,30,158,671,611,155,95,26,5,29,156,50,23.2,7.5,0.254,0.455,0.311,0.766,0.24,0.407,0.33,0.312,0.301,0.167,90.3,16.3,32.7,9.1,9750000
"Manoah, Alek",666201,2022,24,31,196.2,786,713,144,97,30,1,16,180,51,22.9,6.5,0.202,0.314,0.268,0.582,0.224,0.343,0.261,0.284,0.29,0.118,87.5,16.9,33,5.4,730000
"Marquez, German",608566,2022,27,31,181.2,779,704,185,106,44,5,30,150,63,19.3,8.1,0.263,0.467,0.324,0.791,0.256,0.424,0.341,0.327,0.321,0.167,90.5,9.1,35.8,7.1,11300000
"McClanahan, Shane",663556,2022,25,28,166.1,640,597,116,81,16,0,19,194,37,30.3,5.8,0.194,0.317,0.245,0.562,0.207,0.332,0.248,0.261,0.257,0.126,87.6,8.3,31.6,6.4,711400
"McKenzie, Triston",663474,2022,24,31,191.1,741,688,138,82,29,2,25,190,44,25.6,5.9,0.201,0.358,0.253,0.611,0.222,0.397,0.268,0.293,0.274,0.175,90.2,19.7,37.3,9.8,707100
"Megill, Tylor",656731,2023,27,25,126.1,567,500,141,98,25,0,18,105,58,18.5,10.2,0.282,0.44,0.362,0.802,0.283,0.479,0.35,0.365,0.364,0.196,89.8,11.7,37,9.1,750000
"Mikolas, Miles",571945,2022,33,33,202.1,805,751,170,112,31,2,25,153,39,19,4.8,0.226,0.373,0.267,0.64,0.252,0.4,0.279,0.306,0.294,0.148,87.8,11,35.1,6.9,16750000
"Mikolas, Miles",571945,2023,34,35,201.1,860,802,226,145,50,5,26,137,39,15.9,4.5,0.282,0.454,0.319,0.773,0.291,0.499,0.33,0.354,0.329,0.207,90.4,15,38.9,9.8,20416666
"Miller, Bobby",676272,2023,24,22,124.1,505,464,105,68,22,3,12,119,32,23.6,6.3,0.226,0.364,0.283,0.647,0.229,0.355,0.283,0.286,0.29,0.126,88.3,10.3,33.3,6,720000
"Miller, Bryce",682243,2023,24,25,131.1,537,501,124,70,36,0,18,119,26,22.2,4.8,0.248,0.427,0.293,0.72,0.27,0.468,0.309,0.337,0.315,0.198,90.7,17.8,38.7,10.9,720000
"Montas, Frankie",593423,2022,29,27,144.1,608,550,137,90,28,1,18,142,43,23.4,7.1,0.249,0.402,0.308,0.71,0.242,0.396,0.309,0.31,0.305,0.155,87.6,11.2,31.8,8,5025000
"Montgomery, Jordan",656756,2022,29,32,178.1,724,677,159,102,34,2,21,158,36,21.8,5,0.235,0.384,0.281,0.665,0.258,0.4,0.291,0.31,0.303,0.143,88.5,9.8,34.1,7.1,6000000
"Montgomery, Jordan",656756,2023,30,32,188.2,777,718,177,111,45,3,18,166,48,21.4,6.2,0.247,0.393,0.295,0.688,0.253,0.408,0.298,0.308,0.303,0.155,88.3,12,36.3,7.5,10000000
"Morton, Charlie",450203,2022,38,31,172,728,640,149,93,26,2,28,205,63,28.2,8.7,0.233,0.411,0.316,0.727,0.228,0.389,0.32,0.314,0.314,0.161,89.3,13.6,38,9.5,20000000
"Morton, Charlie",450203,2023,39,30,163.1,716,615,150,103,30,3,14,183,83,25.6,11.6,0.244,0.371,0.344,0.715,0.248,0.399,0.318,0.33,0.348,0.151,88.9,9.9,36.8,7.8,20000000
"Musgrove, Joe",605397,2022,29,30,181,740,679,154,94,36,2,22,184,42,24.9,5.7,0.227,0.383,0.284,0.667,0.225,0.35,0.292,0.282,0.284,0.126,86.4,11.7,34.7,6,8625000
"Nelson, Ryne",669194,2023,25,29,144,619,559,159,88,37,10,24,96,46,15.5,7.4,0.284,0.515,0.334,0.849,0.269,0.488,0.357,0.349,0.325,0.22,90.8,16.2,37.1,11.6,722700
"Nola, Aaron",605400,2022,29,32,205,807,766,168,109,39,1,19,235,29,29.1,3.6,0.219,0.347,0.256,0.603,0.211,0.34,0.264,0.259,0.248,0.129,87.7,12.5,34.3,7.1,15500000
"Nola, Aaron",605400,2023,30,32,193.2,793,741,178,108,35,3,32,202,45,25.5,5.7,0.24,0.425,0.283,0.708,0.24,0.407,0.303,0.298,0.284,0.167,89.3,12.7,36.3,8.3,16000000
"Ober, Bailey",641927,2023,27,26,144.1,577,539,125,78,24,1,22,146,29,25.3,5,0.232,0.403,0.279,0.682,0.226,0.412,0.294,0.295,0.274,0.186,88.2,20,33.4,9.6,720000
"Ohtani, Shohei",660271,2022,27,28,166,660,610,124,85,23,2,14,219,44,33.2,6.7,0.203,0.316,0.258,0.574,0.204,0.311,0.255,0.256,0.26,0.107,87.1,14.5,32,6.3,5500000
"Ohtani, Shohei",660271,2023,28,23,132,531,463,85,52,15,0,18,167,55,31.5,10.4,0.184,0.333,0.285,0.618,0.206,0.377,0.277,0.302,0.305,0.171,86.4,11.5,34,10.1,30000000
"Otto Jr., Glenn",657248,2022,26,27,135.2,587,505,119,79,17,2,21,107,62,18.2,10.6,0.236,0.402,0.332,0.734,0.247,0.424,0.325,0.343,0.345,0.177,89,13.2,34.2,8.9,700000
"Oviedo, Johan",670912,2023,25,32,177.2,781,678,161,96,41,5,19,158,83,20.2,10.6,0.237,0.397,0.33,0.727,0.249,0.402,0.319,0.329,0.342,0.154,88.6,11.9,32.2,7.6,735000
"Peralta, Freddy",642547,2023,27,30,165.2,680,617,131,75,30,0,26,210,54,30.9,7.9,0.212,0.387,0.282,0.669,0.214,0.361,0.291,0.284,0.284,0.146,87.6,14.6,32.3,8.6,3734960
"Perez, Martin",527048,2022,31,32,196.1,821,738,178,130,37,0,11,169,69,20.6,8.4,0.241,0.336,0.31,0.646,0.242,0.347,0.289,0.295,0.311,0.105,88.2,8.1,30.9,4.3,4000000
"Perez, Martin",527048,2023,32,35,141.2,608,547,150,103,24,2,21,93,49,15.3,8.1,0.274,0.441,0.336,0.777,0.272,0.447,0.335,0.338,0.334,0.175,89,10.9,33.1,7.6,19650000
"Pivetta, Nick",601713,2022,29,33,179.2,773,691,175,111,36,1,27,175,73,22.6,9.4,0.253,0.425,0.327,0.752,0.248,0.433,0.33,0.332,0.324,0.185,90.7,15.2,36.3,9,2650000
"Pivetta, Nick",601713,2023,30,38,142.2,587,528,110,55,31,1,23,183,50,31.2,8.5,0.208,0.402,0.283,0.685,0.223,0.414,0.296,0.308,0.297,0.192,90.5,13.4,40.1,11.8,5350000
"Plesac, Zach",668676,2022,27,25,131.2,568,524,136,87,30,0,19,100,38,17.6,6.7,0.26,0.426,0.315,0.741,0.278,0.474,0.324,0.351,0.333,0.196,89.5,13,37.6,9.6,2000000
"Quantrill, Cal",615698,2022,27,32,186.1,770,702,178,126,30,1,21,128,47,16.6,6.1,0.254,0.389,0.307,0.696,0.258,0.417,0.305,0.321,0.313,0.159,87.6,13.8,33.3,7.5,2510000
"Quintana, Jose",500779,2022,33,32,165.2,679,626,154,110,35,1,8,137,47,20.2,6.9,0.246,0.343,0.301,0.644,0.257,0.377,0.286,0.305,0.312,0.12,86.5,9.9,34.4,5.5,2000000
"Rasmussen, Drew",656876,2022,26,28,146,584,545,121,82,23,3,13,125,31,21.4,5.3,0.222,0.347,0.267,0.614,0.238,0.375,0.27,0.29,0.283,0.137,88.9,10.1,31.2,6.6,711800
"Ray, Robbie",592662,2022,30,32,189,775,705,163,97,29,5,32,212,62,27.4,8,0.231,0.423,0.299,0.722,0.223,0.373,0.315,0.295,0.292,0.15,89.7,14.7,34,7.9,21000000
"Rea, Colin",607067,2023,32,26,124.2,517,468,110,66,18,3,23,110,38,21.3,7.4,0.235,0.434,0.296,0.73,0.253,0.432,0.313,0.323,0.314,0.179,90.4,13,34.5,7.7,750000
"Rodón, Carlos",607074,2022,29,31,178,710,649,131,87,31,1,12,237,52,33.4,7.3,0.202,0.308,0.263,0.571,0.198,0.309,0.255,0.254,0.259,0.111,89,19.4,33.6,6.5,21500000
"Rodriguez, Eduardo",593958,2023,30,26,152.2,621,563,128,86,25,2,15,143,48,23,7.7,0.227,0.359,0.289,0.648,0.247,0.397,0.284,0.31,0.311,0.15,88.6,13.8,31.4,7.5,14000000
"Rodriguez, Grayson",680570,2023,23,23,122,515,467,121,83,18,4,16,129,42,25,8.2,0.259,0.418,0.321,0.739,0.255,0.407,0.32,0.316,0.318,0.151,89.8,10.4,33.4,7.3,720000
"Ryan, Joe",657746,2022,26,27,147,604,546,115,65,28,2,20,151,47,25,7.8,0.211,0.379,0.285,0.664,0.215,0.373,0.294,0.294,0.289,0.158,88.2,24.2,36.1,8.6,701650
"Ryan, Joe",657746,2023,27,29,161.2,672,626,155,92,30,1,32,197,34,29.3,5.1,0.248,0.452,0.29,0.742,0.224,0.403,0.316,0.291,0.271,0.179,90,20.4,34,8.7,730250
"Sandoval, Patrick",663776,2022,25,27,148.2,638,565,139,109,19,3,8,151,60,23.7,9.4,0.246,0.333,0.322,0.655,0.245,0.359,0.294,0.307,0.323,0.114,87.3,11.4,31.6,5.7,720000
